state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Vadodara(Baroda),Padra APMC,Sponge gourd,Other,FAQ,21/04/2026,1000.0,1500.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Cowpea(Veg),Other,FAQ,21/04/2026,2500.0,3500.0,3000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Drumstick,Other,FAQ,21/04/2026,2500.0,4000.0,3250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Lemon,Other,FAQ,21/04/2026,13500.0,16000.0,15000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Guar,Gwar,FAQ,21/04/2026,2000.0,2500.0,2350.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Bitter gourd,Bitter Gourd,FAQ,21/04/2026,1100.0,1500.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Pegeon Pea(Arhar Fali),Pigeon Pea (Arhar Fali),FAQ,21/04/2026,5500.0,6000.0,5700.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Carrot,Carrot,FAQ,21/04/2026,2000.0,2500.0,2300.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Pea Pod/Pea Cod/हरी मटर,Peas cod,FAQ,21/04/2026,4000.0,5000.0,4500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Piplag) APMC,Bhindi(Ladies Finger),Bhindi,FAQ,21/04/2026,1400.0,1700.0,1500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Gandhinagar,Dehgam(Rekhiyal) APMC,Bajra(Pearl Millet/Cumbu),Other,FAQ,21/04/2026,2350.0,2450.0,2400.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Dhanera APMC,Soanf,Soanf,Local,21/04/2026,7000.0,13700.0,10640.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Dhanera APMC,Castor Seed,Caster,Local,21/04/2026,6100.0,6345.0,6245.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Dhanera APMC,Wheat,Other,Local,21/04/2026,2000.0,2375.0,2210.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Dhanera APMC,Isabgul(Psyllium),Isabgul (Psyllium),Local,21/04/2026,8025.0,12700.0,10485.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod APMC,Soyabean,Soyabeen,Local,21/04/2026,5450.0,5550.0,5500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod APMC,Paddy(Common),Other,Local,21/04/2026,1900.0,1975.0,1950.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod APMC,Wheat,147 Average,Local,21/04/2026,2450.0,2800.0,2700.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod APMC,Arhar(Tur/Red Gram)(Whole),Arhar (Whole),Non-FAQ,21/04/2026,5700.0,6100.0,6000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiad APMC,Tomato,Tomato,FAQ,21/04/2026,900.0,1000.0,950.0,2026-04-28T19:31:14.006465+00:00
